Date,Team,Acquired,Relinquished,Notes
2023-08-05,Dolphins,,• John Lovett (b. 1996-04-25),placed on IR with undisclosed injury
2023-08-05,Giants,,• Ryder Anderson,triceps injury (out indefinitely)
2023-08-05,Lions,,• Jarren Williams,placed on IR with undisclosed injury
2023-08-05,Panthers,• Chandler Zavala,,activated from physically unable to perform list
2023-08-05,Saints,,• Eno Benjamin,torn Achilles tendon (out indefinitely)
2023-08-05,Dolphins,• Bennett Williams,,activated from IR
2023-08-06,Bears,,• Chase Allen (b. 1997-07-09),placed on IR with undisclosed injury
2023-08-06,Broncos,,• Yasir Durant,placed on IR with undisclosed injury
2023-08-06,Saints,,• Eno Benjamin,placed on IR with torn Achilles tendon
2023-08-06,Seahawks,• Tariq Woolen,,activated from physically unable to perform list
2023-08-06,Texans,,• D.J. Scaife Jr.,placed on IR with right leg injury
2023-08-06,Vikings,,• James Lynch,placed on IR with torn ACL in knee
2023-08-06,Vikings,• Andre Carter II,,activated from physically unable to perform list
2023-08-07,Bengals,,• Devonnsha Maxwell,placed on IR with right knee injury
2023-08-07,Browns,,• Alex Wright,knee injury (out)
2023-08-07,Cardinals,• B.J. Ojulari,,activated from physically unable to perform list
2023-08-07,Commanders,,• Troy Apke,placed on IR with shoulder injury
2023-08-07,Cowboys,• Luke Schoonmaker,,activated from reserve/non-football injury list
2023-08-07,Eagles,,• Charleston Rambo,placed on IR with undisclosed injury
2023-08-07,Falcons,• Calais Campbell,,activated from reserve/non-football injury list
2023-08-07,Giants,• A'Shawn Robinson,,activated from physically unable to perform list
2023-08-07,Giants,• Marcus McKethan,,activated from physically unable to perform list
2023-08-07,Jets,,• Hamsah Nasirildeen,placed on IR with neck injury
2023-08-07,Jets,,• Maalik Hall,placed on IR with undisclosed injury
2023-08-07,Packers,• Grant DuBose,,activated from non-football injury list
2023-08-07,Packers,• Rashan Gary,,activated from physically unable to perform list
2023-08-07,Ravens,• Patrick Ricard,,activated from physically unable to perform list
2023-08-07,Texans,,• Greg Little,placed on IR with undisclosed injury
2023-08-07,Texans,,• Tytus Howard,surgery on hand to repair fracture (out indefinitely)
2023-08-07,Chiefs,• Isaiah Moore,,activated from IR
2023-08-07,Lions,• Tom Kennedy (b. 1996-07-29),,activated from IR
2023-08-08,Browns,,• Isaiah Thomas,knee injury (out indefinitely)
2023-08-08,Colts,• Tyquan Lewis,,activated from physically unable to perform list
2023-08-08,Commanders,,• Curtis Brooks,placed on IR with undisclosed injury
2023-08-08,Eagles,• Devon Allen,,activated from non-football injury list
2023-08-08,Jets,,• Chris Streveler,placed on IR with thumb injury
2023-08-08,Texans,,• Jesse Matthews,placed on IR with torn ACL in knee
2023-08-08,Patriots,,• Trey Flowers,placed on physically unable to perform list
2023-08-09,Bears,,• Jake Tonges,placed on IR with undisclosed injury
2023-08-09,Bears,• Dante Pettis,,activated from reserve/non-football injury list
2023-08-09,Browns,,• Jerome Ford,hamstring injury (out indefinitely)
2023-08-09,Cardinals,,• Marlon Mack,placed on IR with torn left Achilles tendon
2023-08-09,Jets,,• Yodny Cajuste,placed on IR with undisclosed injury
2023-08-09,Panthers,,• Jalen Redmond,placed on IR with undisclosed injury
2023-08-09,Ravens,• Rashod Bateman,,activated from physically unable to perform list
2023-08-09,Seahawks,,• Andrew Whitaker,placed on IR with undisclosed injury
2023-08-09,Seahawks,,• Vi Jones (b. 1998-05-05),sprained ankle (out indefinitely)
2023-08-09,Steelers,,• Ja'Marcus Bradley,placed on IR with undisclosed injury
2023-08-09,49ers,• Terrance Mitchell,,activated from IR
2023-08-09,Lions,• Jarren Williams,,activated from IR
2023-08-09,Panthers,• John Penisini,,activated from physically unable to perform list
2023-08-10,Chargers,,• Nicolas Melsop / Nicholas Melsop / Nic Melsop,placed on IR with undisclosed injury
2023-08-10,Saints,,• Koda Martin,placed on IR
2023-08-10,Seahawks,,• Joshua Onujiogu / Josh Onujiogu,placed on IR with undisclosed injury
2023-08-10,Bears,• Chase Allen (b. 1997-07-09),,activated from IR
2023-08-10,Broncos,• Yasir Durant,,activated from IR
2023-08-10,Colts,• Ethan Fernea,,activated from IR
2023-08-11,49ers,,• Anthony Averett,placed on IR with undisclosed injury
2023-08-11,Colts,,• La'Michael Pettway,placed on IR with undisclosed injury
2023-08-11,Colts,,• Michael Tutsie,placed on IR with undisclosed injury
2023-08-11,Browns,• Daylen Baldwin,,activated from IR
2023-08-11,Giants,• Jeff Smith (Alan),,activated from IR
2023-08-12,Texans,• Teagan Quitoriano,,activated from physically unable to perform list
2023-08-12,Dolphins,• John Lovett (b. 1996-04-25),,activated from IR
2023-08-13,49ers,,• Daelin Hayes,placed on IR with undisclosed injury
2023-08-13,Browns,,• Bubba Bolden,placed on IR with hamstring injury
2023-08-13,Browns,,• Jacob Phillips,placed on IR with torn pectoral muscle
2023-08-13,Chiefs,,• Nic Jones,fractured finger (out)
2023-08-13,Raiders,,• D.J. Turner (b. 1997-01-18),placed on IR with undisclosed injury
2023-08-13,Raiders,,• Darius Harris,placed on IR with undisclosed injury
2023-08-13,Saints,• Koda Martin,,activated from IR
2023-08-14,Cardinals,,• Rashad Fenton,placed on IR with undisclosed injury
2023-08-14,Dolphins,,• Freddie Swain,placed on IR with hamstring injury
2023-08-14,Dolphins,,• Mark Gilbert,placed on IR with undisclosed injury
2023-08-14,Eagles,,• Shaun Bradley,placed on IR with torn right Achilles tendon
2023-08-14,Giants,• D.J. Davidson,,activated from physically unable to perform list
2023-08-14,Jaguars,,• Henry Mondeaux,placed on IR with undisclosed injury
2023-08-14,Jaguars,• Ben Bartch,,activated from physically unable to perform list
2023-08-14,Jets,,• Ifeadi Odenigbo,placed on IR with undisclosed injury
2023-08-14,Steelers,,• Chapelle Russell,placed on IR with knee injury
2023-08-14,Steelers,,• Duke Dawson,placed on IR with left knee injury
2023-08-14,Titans,,• Shakel Brown,placed on IR with ankle injury
2023-08-14,Titans,• Josh Thompson (b. 1998-10-20),,activated from reserve/non-football injury list
2023-08-14,Falcons,• Chris Blair,,activated from IR
2023-08-15,49ers,,• Ray-Ray McCloud,fractured wrist (out indefinitely)
2023-08-15,Bills,• Tyler Matakevich,,activated from physically unable to perform list
2023-08-15,Cardinals,• Zach Ertz,,activated from physically unable to perform list
2023-08-15,Chiefs,,• Jody Fortson Jr. / Joe Fortson,placed on IR with shoulder injury
2023-08-15,Falcons,,• Adetokunbo Ogundeji / Ade Ogundeji,placed on IR with foot injury
2023-08-15,Falcons,,• Frank Darby,placed on IR
2023-08-15,Jets,• Breece Hall,,activated from physically unable to perform list
2023-08-15,Lions,,• Trey Quinn,placed on IR
2023-08-15,Raiders,,• Brandon Parker,placed on IR with triceps injury
2023-08-15,Seahawks,• Jordyn Brooks,,activated from physically unable to perform list
2023-08-15,Vikings,,• William Kwenkeu,placed on IR with undisclosed injury
2023-08-15,Dolphins,• Freddie Swain,,activated from IR
2023-08-15,Texans,• Greg Little,,activated from IR
2023-08-16,Broncos,,• Elliott Fry,placed on IR with undisclosed injury
2023-08-16,Buccaneers,,• Russell Gage,torn patellar tendon in right knee (out for season)
2023-08-16,Chiefs,,• Anthony Witherstone,placed on IR with toe injury
2023-08-16,Falcons,,• Matt Hennessy,placed on IR with knee/leg injury
2023-08-16,Giants,,• Devery Hamilton,placed on IR with calf injury
2023-08-16,Panthers,,• Damiere Byrd,placed on IR with hamstring injury
2023-08-16,Raiders,• Tyree Wilson,,activated from reserve/non-football injury list
2023-08-16,Ravens,,• Marlon Humphrey,foot injury (out indefinitely)
2023-08-16,Titans,,• Treylon Burks,sprained left knee (out indefinitely)
2023-08-16,49ers,• Darryl Johnson Jr.,,activated from IR
2023-08-16,Jets,• Chris Streveler,,activated from IR
2023-08-16,Lions,• Trey Quinn,,activated from IR
2023-08-16,Packers,• Jeff Cotton,,activated from IR
2023-08-16,Panthers,• Jalen Redmond,,activated from IR
2023-08-16,Raiders,• Darius Harris,,activated from IR
2023-08-17,Broncos,,• Forrest Merrill,placed on IR with undisclosed injury
2023-08-17,Chargers,,• Kemon Hall,placed on IR with undisclosed injury
2023-08-17,Colts,,• Ashton Dulin,placed on IR with torn ACL in knee
2023-08-17,Giants,,• Troy Brown (a),placed on IR with undisclosed injury
2023-08-17,Jets,,• Javelin Guidry Jr.,placed on IR with undisclosed injury
2023-08-17,49ers,• Anthony Averett,,activated from IR
2023-08-17,Bears,• Jake Tonges,,activated from IR
2023-08-17,Browns,• Bubba Bolden,,activated from IR
2023-08-17,Colts,• La'Michael Pettway,,activated from IR
2023-08-17,Colts,• Michael Tutsie,,activated from IR
2023-08-17,Jets,• Yodny Cajuste,,activated from IR
2023-08-17,Raiders,• D.J. Turner (b. 1997-01-18),,activated from IR
2023-08-17,Steelers,• Ja'Marcus Bradley,,activated from IR
2023-08-18,Bears,,• Buddy Johnson,placed on IR with undisclosed injury
2023-08-18,Colts,,• Genard Avery,placed on IR with surgery on knee
2023-08-18,Colts,,• Malik Turner,placed on IR with undisclosed injury
2023-08-18,Eagles,,• Zech McPhearson,torn right Achilles tendon (out for season)
2023-08-18,Seahawks,,• Ra'Shaun Henry,placed on IR with undisclosed injury
2023-08-18,Chargers,• Nicolas Melsop / Nicholas Melsop / Nic Melsop,,activated from IR
2023-08-18,Dolphins,• Mark Gilbert,,activated from IR
2023-08-19,49ers,,• Taco Charlton,placed on IR with hamstring injury
2023-08-19,Chargers,,• J.T. Woods,"fined $6,662 by NFL"
2023-08-19,Lions,,• Denzel Mims,placed on IR with undisclosed injury
2023-08-19,Ravens,,• Jordan Swann,placed on IR
2023-08-19,Steelers,,• Kwon Alexander,"fined $43,709 by NFL"
2023-08-19,Texans,,• Jacobi Francis,"fined $4,833 by NFL"
2023-08-20,Bills,,• Tommy Doyle,left knee injury (out for season)
2023-08-20,Bills,• Jordan Phillips (a),,activated from physically unable to perform list (date approximate)
2023-08-20,Broncos,,• Jalen Virgil,torn meniscus in knee (out indefinitely)
2023-08-20,Buccaneers,,• Russell Gage,placed on IR with torn patellar tendon in right knee
2023-08-20,Cowboys,,• DeMarvion Overshown,torn ACL in left knee (out for season)
2023-08-20,Cowboys,,• Sam Williams (Degarrick),"arrested and charged with possession of marijuana, unlawful carrying of a weapon"
2023-08-20,Eagles,,• Noah Elliss,placed on IR with undisclosed injury
2023-08-20,Eagles,,• Tyrie Cleveland,"placed on IR with concussion, neck injury"
2023-08-20,Eagles,,• Zech McPhearson,placed on IR with torn right Achilles tendon
2023-08-21,Bears,,• Adrian Colbert,placed on IR with undisclosed injury
2023-08-21,Bengals,• Mitchell Wilcox,,activated from physically unable to perform list
2023-08-21,Bills,,• Shane Ray,placed on IR with hamstring injury
2023-08-21,Bills,,• Tommy Doyle,placed on IR with left knee injury
2023-08-21,Dolphins,,• De'Von Achane,shoulder injury (out indefinitely)
2023-08-21,Lions,,• Mohamed Ibrahim,placed on IR with undisclosed injury
2023-08-21,Packers,,• Tyler Davis (a),placed on IR with torn ACL in right knee
2023-08-21,Chiefs,• Anthony Witherstone,,activated from IR
2023-08-21,Falcons,• Frank Darby,,activated from IR
2023-08-21,Saints,• Scott Lashley,,activated from IR
2023-08-21,Steelers,• Duke Dawson,,activated from IR
2023-08-22,Bears,,• Jared Pinkney,placed on IR with undisclosed injury
2023-08-22,Bears,,• Teven Jenkins,leg injury (out indefinitely)
2023-08-22,Broncos,,• Jalen Virgil,placed on IR with torn meniscus in right knee
2023-08-22,Dolphins,,• Tino Ellis,placed on IR with undisclosed injury
2023-08-22,Dolphins,• Tanner Conner,,activated from physically unable to perform list
2023-08-22,Jets,,• Israel Abanikanda,thigh injury (out indefinitely)
2023-08-22,Jets,,• Joe Tippmann,knee injury (out indefinitely)
2023-08-22,Jets,• Duane Brown,,activated from physically unable to perform list
2023-08-22,Raiders,,• Darien Butler,placed on IR with undisclosed injury
2023-08-22,Steelers,,• Cody White (b. 1998-11-28),placed on IR with undisclosed injury
2023-08-22,Steelers,,• Hakeem Butler,placed on IR with undisclosed injury
2023-08-22,49ers,• Daelin Hayes,,activated from IR
2023-08-22,Broncos,• Elliott Fry,,activated from IR
2023-08-22,Jaguars,• Henry Mondeaux,,activated from IR
2023-08-22,Texans,,• Alex Bachman,placed on IR with undisclosed injury
2023-08-23,Broncos,• Mike Purcell,,activated from reserve/non-football injury list
2023-08-23,Cardinals,,• Lachavious Simmons,placed on IR with undisclosed injury
2023-08-23,Chargers,,• Andrew Trainer,placed on IR with undisclosed injury
2023-08-23,Packers,,• Jake Hanson,placed on IR with undisclosed injury
2023-08-23,Patriots,,• Tre Nixon,placed on IR with undisclosed injury
2023-08-23,Patriots,• Mike Onwenu,,activated from physically unable to perform list
2023-08-23,Ravens,,• Shemar Bridges,sprained knee (out)
2023-08-23,Chargers,• Kemon Hall,,activated from IR
2023-08-23,Giants,• Troy Brown (a),,activated from IR
2023-08-23,Packers,• Jake Hanson,,activated from IR
2023-08-24,Seahawks,• Jamal Adams,,activated from physically unable to perform list
2023-08-24,Texans,,• Kilian Zierer,placed on IR with ankle injury
2023-08-24,Texans,,• Tyree Gillespie,placed on IR with undisclosed injury
2023-08-24,Vikings,,• Jordan Addison,agreed to plead guilty to a misdemeanor speeding charge
2023-08-24,Giants,• Devery Hamilton,,activated from IR
2023-08-24,Lions,• Denzel Mims,,activated from IR
2023-08-24,Raiders,• Brandon Parker,,activated from IR
2023-08-25,Bears,,• Dante Pettis,placed on IR with undisclosed injury
2023-08-25,Dolphins,,• Myles Dorn,placed on IR with undisclosed injury
2023-08-25,Bills,• Shane Ray,,activated from IR
2023-08-25,Panthers,• Damiere Byrd,,activated from IR
2023-08-25,Steelers,• Cody White (b. 1998-11-28),,activated from IR
2023-08-25,Steelers,• Hakeem Butler,,activated from IR
2023-08-26,Bears,,• Jalen Harris,"fined $4,185 by NFL for unsportsmanlike conduct (fighting)"
2023-08-26,Browns,,• Dorian Thompson-Robinson,"fined $4,642 by NFL for blindside block"
2023-08-26,Colts,,• Danny Pinter,fractured left ankle (out for season)
2023-08-26,Eagles,,• Roderick Johnson,placed on IR with undisclosed injury
2023-08-26,Rams,• Hunter Long,,activated from physically unable to perform list
2023-08-26,49ers,• Taco Charlton,,activated from IR
2023-08-26,Lions,• Mohamed Ibrahim,,activated from IR
2023-08-27,Bills,,• Baylon Spector,hamstring injury (out indefinitely)
2023-08-27,Browns,,• Jakeem Grant,placed on IR with torn patellar tendon in right knee
2023-08-27,Browns,,• Jordan Kunaszyk,torn MCL in knee (out indefinitely)
2023-08-27,Browns,• Marquise Goodwin,,activated from reserve/non-football injury list
2023-08-27,Buccaneers,,• Ryan Jensen,placed on IR with left knee injury
2023-08-27,Cowboys,,• Josh Ball,groin injury (out)
2023-08-27,Giants,,• Bryce Ford-Wheaton,placed on IR with torn ACL in knee
2023-08-27,Raiders,,• Brittain Brown,placed on IR with undisclosed injury
2023-08-27,Raiders,,• Isaiah Zuber,placed on IR with undisclosed injury
2023-08-27,Raiders,,• Jacob Hollister,placed on IR with undisclosed injury
2023-08-28,Browns,,• Drew Forbes,placed on reserve/non-football injury list with back injury
2023-08-28,Cardinals,,• Pat Elflein,placed on IR with hip injury
2023-08-28,Commanders,,• Braeden Daniels,placed on IR with shoulder injury
2023-08-28,Giants,,• Chris Myarick,placed on IR with hand injury
2023-08-28,Jets,,• Jimmy Moreland,placed on IR with hand injury
2023-08-28,Titans,,• Hassan Haskins,placed on IR with upper body injury
2023-08-28,Titans,• Dillon Radunz,,activated from physically unable to perform list
2023-08-28,Eagles,• Noah Elliss,,activated from IR
2023-08-29,49ers,,• A.J. Parker,placed on IR with hamstring injury
2023-08-29,49ers,,• Cameron Latu,placed on IR with torn meniscus in knee
2023-08-29,49ers,,• Darrell Luter Jr.,placed on reserve/physically unable to perform list with knee injury
2023-08-29,49ers,,• Tayler Hawkins,placed on IR with fractured hand
2023-08-29,49ers,,• Zane Gonzalez,placed on IR with calf injury
2023-08-29,Bears,,• Isaiah Ford,placed on IR with undisclosed
2023-08-29,Bears,• Adrian Colbert,,activated from IR
2023-08-29,Bengals,,• La'el Collins,placed on reserve/physically unable to perform list with knee injury
2023-08-29,Bengals,,• Marvell Tell III,placed on IR with concussion
2023-08-29,Bengals,,• Tautala Pesefea Jr.,placed on IR with elbow injury
2023-08-29,Bills,,• Matt Barkley,placed on IR with elbow injury
2023-08-29,Bills,,• Von Miller,placed on reserve/physically unable to perform list with right knee injury
2023-08-29,Broncos,,• Baron Browning,placed on reserve/physically unable to perform list recovering from surgery on knee
2023-08-29,Cardinals,,• Jon Gaines II,placed on IR with knee injury
2023-08-29,Cardinals,,• Kyler Murray,placed on reserve/physically unable to perform list recovering from surgery on right knee to repair torn ACL
2023-08-29,Chargers,,• Jalen Guyton,placed on reserve/physically unable to perform list with knee injury
2023-08-29,Chargers,,• Otito Ogbonnia,placed on reserve/physically unable to perform list recovering from torn patellar tendon in left knee
2023-08-29,Chiefs,,• Charles Omenihu,placed on reserve/suspended list
2023-08-29,Colts,,• Chris Lammons,placed on reserve/suspended list
2023-08-29,Colts,,• Danny Pinter,placed on IR with fractured left ankle
2023-08-29,Colts,,• JoJo Domann,placed on IR with undisclosed
2023-08-29,Colts,,• Jonathan Taylor,"placed on reserve/physically unable to perform list with ankle, back injuries"
2023-08-29,Colts,,• Ricky Seals-Jones,placed on IR with undisclosed
2023-08-29,Colts,,• Titus Leo,placed on IR with undisclosed
2023-08-29,Commanders,,• Brandon Dillon,placed on IR with undisclosed
2023-08-29,Commanders,,• Jonathan Williams (b. 1994-02-02),placed on IR with undisclosed
2023-08-29,Commanders,,• Kaden Smith,placed on IR with undisclosed
2023-08-29,Commanders,,• Kyric McGowan,placed on IR with undisclosed
2023-08-29,Cowboys,,• David Durden,placed on IR with torn ACL in left knee
2023-08-29,Cowboys,,• DeMarvion Overshown,placed on IR with torn ACL in left knee
2023-08-29,Cowboys,,• John Stephens Jr.,placed on IR with torn ACL in left knee
2023-08-29,Cowboys,,• Josh Ball,placed on IR with groin/hip injury
2023-08-29,Cowboys,,• Ronald Jones II,placed on reserve/suspended list
2023-08-29,Cowboys,• Jourdan Lewis,,activated from physically unable to perform list
2023-08-29,Dolphins,,• Eric Saubert,placed on IR with undisclosed
2023-08-29,Dolphins,,• Keion Crossen,placed on IR with shoulder injury
2023-08-29,Dolphins,,• Nik Needham,placed on reserve/physically unable to perform list recovering from torn Achilles tendon
2023-08-29,Falcons,,• Cornell Armstrong,placed on IR with undisclosed
2023-08-29,Falcons,,• Penny Hart,placed on IR with undisclosed
2023-08-29,Giants,,• Aaron Robinson,placed on reserve/physically unable to perform list with knee injury
2023-08-29,Giants,,• Tommy Sweeney,placed on reserve/non-football injury list with undisclosed
2023-08-29,Giants,• Wan'Dale Robinson,,activated from physically unable to perform list
2023-08-29,Jaguars,,• Cam Robinson,placed on reserve/suspended list
2023-08-29,Jaguars,,• Dawuane Smoot,placed on reserve/physically unable to perform list recovering from torn right Achilles tendon
2023-08-29,Jaguars,,• Josh Wells,placed on IR with abdominal injury
2023-08-29,Jaguars,,• Ventrell Miller,placed on IR with torn right Achilles tendon (out for season)
2023-08-29,Jets,,• Brandin Echols,placed on reserve/suspended list
2023-08-29,Jets,,• Jarrick Bernard-Converse,placed on reserve/physically unable to perform list with undisclosed
2023-08-29,Lions,,• Jameson Williams,placed on reserve/suspended list
2023-08-29,Lions,,• Nate Sudfeld,placed on IR with torn ACL in left knee
2023-08-29,Lions,• Emmanuel Moseley,,activated from physically unable to perform list
2023-08-29,Packers,,• Eric Stokes (Jamane),"placed on reserve/physically unable to perform list with various injuries / foot, knee injuries"
2023-08-29,Packers,,• Tarvarius Moore,placed on IR with with knee injury
2023-08-29,Panthers,,• Austin Corbett,placed on reserve/physically unable to perform list with left knee injury
2023-08-29,Panthers,,• Henry Anderson (Wyatt),placed on IR with foot injury
2023-08-29,Patriots,,• Cody Davis,placed on reserve/physically unable to perform list
2023-08-29,Patriots,,• Conor McDermott,placed on IR with undisclosed
2023-08-29,Patriots,,• Isaiah Bolden,placed on IR with concussion
2023-08-29,Patriots,,• Trey Flowers,placed on reserve/physically unable to perform list
2023-08-29,Raiders,,• Dalton Wagner,placed on IR with undisclosed
2023-08-29,Ravens,,• Nick Moore (Robert),placed on reserve/non-football injury list with torn Achilles tendon
2023-08-29,Saints,,• Alvin Kamara,placed on reserve/suspended list
2023-08-29,Seahawks,,• Austin Faoliu,placed on reserve/physically unable to perform list with knee injury
2023-08-29,Seahawks,,• Bryan Mone,placed on reserve/physically unable to perform list recovering from torn ACL in left knee
2023-08-29,Seahawks,,• D'Wayne Eskridge / Dee Eskridge,placed on reserve/suspended list
2023-08-29,Texans,,• Charlie Heck,placed on reserve/physically unable to perform list with undisclosed
2023-08-29,Texans,,• Kenyon Green,placed on IR with shoulder injury
2023-08-29,Texans,• Alex Bachman,,activated from IR
2023-08-29,Titans,,• Caleb Farley,placed on reserve/physically unable to perform list with back injury
2023-08-29,Titans,,• Nicholas Petit-Frere,placed on reserve/suspended list
2023-08-29,Bears,• Jared Pinkney,,activated from IR
2023-08-29,Dolphins,• Myles Dorn,,activated from IR
2023-08-29,Eagles,• Tyrie Cleveland,,activated from IR
2023-08-30,Bears,,• Gabe Houy,placed on IR with leg injury
2023-08-30,Bears,,• Joe Reed,placed on IR with undisclosed
2023-08-30,Bears,,• Trestan Ebner,placed on IR with concussion
2023-08-30,Broncos,,• Christopher Allen,placed on IR with groin injury
2023-08-30,Browns,,• Anthony Schwartz,placed on IR with hamstring injury
2023-08-30,Buccaneers,,• Dominique Dafney,placed on IR with undisclosed
2023-08-30,Buccaneers,,• Don Gardner / Donnie Gardner,placed on IR with undisclosed
2023-08-30,Buccaneers,,• Kedrick Whitehead,placed on IR with undisclosed
2023-08-30,Cardinals,,• Kyler McMichael,placed on IR with undisclosed
2023-08-30,Chargers,,• Amechi Uzodinma II,placed on IR with undisclosed
2023-08-30,Chargers,,• Blake Lynch,placed on IR with undisclosed
2023-08-30,Chargers,,• Darrius Shepherd,placed on IR with undisclosed
2023-08-30,Chargers,,• Milton Wright,placed on IR with undisclosed
2023-08-30,Chiefs,,• Jerome Carvin,placed on IR with undisclosed
2023-08-30,Chiefs,,• Nikko Remigio,placed on IR with undisclosed
2023-08-30,Chiefs,,• Olakunle Fatukasi,placed on IR with undisclosed
2023-08-30,Eagles,,• Trey Sermon,placed on IR with undisclosed
2023-08-30,Giants,,• Jack Anderson (b. 1998-10-12),placed on IR with undisclosed
2023-08-30,Giants,,• Wyatt Davis,placed on IR with undisclosed
2023-08-30,Giants,,• Zyon Gilbert,placed on IR with undisclosed
2023-08-30,Jaguars,,• Jaray Jenkins,placed on IR with surgery on foot
2023-08-30,Lions,,• Jermar Jefferson,placed on IR
2023-08-30,Packers,,• Broughton Hatcher / B.R. Hatcher,placed on IR with undisclosed
2023-08-30,Packers,,• Lew Nichols III,placed on IR with shoulder injury
2023-08-30,Packers,,• Tyler Goodson,placed on IR with shoulder injury
2023-08-30,Panthers,,• Mac McCain III,placed on IR with undisclosed
2023-08-30,Patriots,,• Diego Fagot,placed on IR with undisclosed
2023-08-30,Raiders,,• Chris Lacy (b. 1996-01-28),placed on IR with undisclosed
2023-08-30,Rams,,• DeAndre Square,placed on IR with undisclosed
2023-08-30,Rams,,• Rashad Torrence II,placed on IR with undisclosed
2023-08-30,Rams,,• Ryan Smenda Jr.,placed on IR with undisclosed
2023-08-30,Seahawks,,• Joey Blount,placed on IR with undisclosed
2023-08-30,Seahawks,,• Vi Jones (b. 1998-05-05),placed on IR with undisclosed
2023-08-30,Texans,,• Keaton Sutherland,placed on IR with undisclosed
2023-08-30,Texans,,• Roy Lopez,placed on IR with hamstring injury
2023-08-30,Titans,,• Alize Mack,placed on IR with undisclosed
2023-08-30,Titans,,• Tyler Shelvin,placed on IR with undisclosed
2023-08-30,Vikings,,• Abraham Beauplan,placed on IR with undisclosed
2023-08-30,Vikings,,• Tay Gowan,placed on IR with undisclosed
2023-08-30,Chargers,,• Matt Kaskey,placed on IR with undisclosed
2023-08-30,Giants,• Vernon Butler,,activated from IR
2023-08-30,Raiders,• Jacob Hollister,,activated from IR
2023-08-30,Seahawks,,• Jonathan Sutherland,placed on IR with undisclosed
2023-08-30,Titans,,• Jonathan Ward,placed on IR with undisclosed
2023-08-30,Titans,,• Josh Thompson (b. 1998-10-20),placed on IR with undisclosed
2023-08-30,Chargers,• Matt Kaskey,,activated from IR
2023-08-30,Titans,• Jonathan Ward,,activated from IR
2023-08-30,Seahawks,• Jonathan Sutherland,,activated from IR
2023-08-30,Titans,• Josh Thompson (b. 1998-10-20),,activated from IR
2023-08-31,49ers,,• Danny Gray,placed on IR with sprained shoulder
2023-08-31,49ers,,• Robert Beal Jr.,placed on IR with hamstring injury
2023-08-31,Bears,,• Doug Kramer,placed on IR with undisclosed injury
